geonames_id,osm_id,wikipedia_id,woe_id,name,iso,is_megacity,latitude,longitude
5749352,150981273,130754,2484630,"Roseburg, Oregon, United States of America",USA,0,43.2184330435,-123.356098675
5745380,150938839,130965,2470169,"Pendleton, Oregon, United States of America",USA,0,45.6725984895,-118.787488649
5733770,150936221,130767,2429444,"John Day, Oregon, United States of America",USA,0,44.416525288,-118.95202641
5729080,150947268,130826,2413165,"Grants Pass, Oregon, United States of America",USA,0,42.4395400178,-123.327185712
5720727,150953592,48969,2385382,"Corvallis, Oregon, United States of America",USA,0,44.5723555695,-123.279979291
5710756,150958779,8053187,2352640,"Albany, Oregon, United States of America",USA,0,44.6204921662,-123.086941978
5711847,150980272,0,2356874,"Astoria, Oregon, United States of America",USA,0,46.1883809602,-123.829997398
5740099,29932671,130815,2448929,"Medford, Oregon, United States of America",USA,0,42.3266270132,-122.87442265
5735238,150938845,130832,2433280,"Klamath Falls, Oregon, United States of America",USA,0,42.2250053091,-121.780535931
5545710,150964460,137111,2480792,"Richfield, Utah, United States of America",USA,0,38.7724770295,-112.083298382
5543853,150954558,137021,2457797,"Nephi, Utah, United States of America",USA,0,39.7102750845,-111.835484051
5777544,150977055,136944,2441116,"Logan, Utah, United States of America",USA,0,41.7359395539,-111.833597862
5544619,150963992,137017,2468860,"Parowan, Utah, United States of America",USA,0,37.8425337922,-112.827206463
5541458,150940534,137026,2430565,"Kanab, Utah, United States of America",USA,0,37.0473885285,-112.525493614
5543377,151957270,137083,2453455,"Monticello, Utah, United States of America",USA,0,37.8717826528,-109.342199546
5543307,151363125,137011,2452523,"Moab, Utah, United States of America",USA,0,38.5737036327,-109.549189496
5545269,150959061,136961,2476575,"Price, Utah, United States of America",USA,0,39.5997908722,-110.810016929
5536630,150955448,137013,2376608,"Cedar City, Utah, United States of America",USA,0,37.677427591,-113.061093996
5784154,151909535,137139,2511782,"Vernal, Utah, United States of America",USA,0,40.4553975617,-109.528002158
5779206,150936580,137209,2464337,"Ogden, Utah, United States of America",USA,0,41.2323785594,-111.9680341
5546220,150944101,137193,2486791,"St. George, Utah, United States of America",USA,0,37.1041550894,-113.583336021
5780026,150967832,82131,2477080,"Provo, Utah, United States of America",USA,0,40.2488985383,-111.637770021
5830007,151963125,140101,2436147,"Lander, Wyoming, United States of America",USA,0,42.8330043732,-108.732598513
5835606,151370467,140174,2476091,"Powell, Wyoming, United States of America",USA,0,44.7586749462,-108.758436729
5826559,151609146,140209,2413996,"Green River, Wyoming, United States of America",USA,0,41.514557718,-109.464982749
